url,nombre,categoría,derivadas,derivadaRevisada
https://farsamag.com/obras/el-amo-del-mundo/,El amo del mundo,Reseña,"/obra76357-el-amo-del-mundo, /obra11731-el-amo-del-mundo, /obra42637-el-amo-del-mundo, /obra78236-evita-juguetes-de-amor-o-de-como-un-nino-es-el-poeta-del-mundo, /obra74462-con-todo-el-amor-del-mundo, /obra54554-el-amor-es-el-fin-del-mundo-sala-2, /obra6039-la-muerte-del-raton-mas-famoso-del-mundo, /obra75583-el-amor-es-el-fin-del-mundo",False
https://farsamag.com/obras/la-mujer-puerca/,La mujer puerca,Imperdible,"/obra25509-la-mujer-puerca, /obra71338-la-mujer-puerca, /obra41386-la-mujer-puerca",False
https://farsamag.com/obras/200-golpes-de-jamon-serrano/,200 golpes de jamón serrano,Destacada,"/obra59320-200-golpes-de-jamon-serrano, /obra67639-festival-teatroxlaidentidad-200-golpes-de-jamon-serrano",False
https://farsamag.com/obras/las-de-barranco/,Las de Barranco,Reseña,"/obra40466-las-de-barranco, /obra64809-las-de-barranco, /obra64707-las-de-barranco, /obra64353-las-de-barranco, /obra66281-las-de-barranco, /obra57477-las-de-barranco, /obra57711-las-de-barranco, /obra31009-las-de-barranco, /obra36517-las-de-barranco, /obra37692-las-de-barranco, /obra9876-las-de-barranco, /obra17338-las-de-barranco, /obra23284-las-de-barranco, /obra14708-las-de-barranco, /obra20497-las-de-barranco, /obra21837-las-de-barranco, /obra18022-las-de-barranco, /obra10849-las-de-barranco, /obra10550-las-de-barranco, /obra12388-las-de-barranco, /obra8729-las-de-barranco, /obra3907-las-de-barranco, /obra6256-las-de-barranco, /obra3664-las-de-barranco, /obra3342-las-de-barranco, /obra2298-las-de-barranco, /obra223-las-de-barranco, /obra45032-las-de-barranco, /obra44128-las-de-barranco, /obra62963-las-de-barranco, /obra63325-las-de-barranco, /obra10055-las-de-barranco, /obra45547-las-de-barranco, /obra45994-las-de-barranco, /obra75302-pretenciosas-ridiculas-las-de-barranco, /obra75446-pretenciosas-ridiculas-las-de-barranco-streaming, /obra72061-bombon-digital-coro-municipal-de-ninos-usted-esta-actuando-las-de-barranco-humo-programa-3, /obra45461-las-de-barranco-hoy, /obra20387-otra-vez-las-de-barranco, /obra2481-las-de-barranco-ahora, /obra39583-las-mujeres-de-barranco, /obra56467-las-del-barranco, /obra27778-las-del-barranco, /obra22880-las-de-barranco, /obra50595-las-de-barranco",False
https://farsamag.com/obras/la-pilarcita/,La Pilarcita,Destacada,/obra36093-la-pilarcita,False
https://farsamag.com/obras/las-cunadas/,Las cuñadas,Reseña,/obra68561-las-cunadas,False
https://farsamag.com/obras/amor-de-cuarentena-el-diario/,Amor de Cuarentena: el diario,Reseña,,False
https://farsamag.com/obras/para-partir/,Para partir,Reseña,"/obra63932-para-partir, /obra62331-lectura-de-poesia-para-ninos-de-a-partir-de-2-anos-libro-haikus-poesia-de-un-mundo-pequeno, /obra61596-musica-para-compartir-ii, /obra44870-amalia-echeverz-y-fabiana-de-marco-musica-para-compartir, /obra38478-musica-para-compartir",False
https://farsamag.com/obras/hamlet-esta-muerto-sin-fuerza-de-gravedad/,Hamlet está muerto. Sin fuerza de gravedad.,Destacada,"/obra50190-cielo-es-una-maquina-hamlet-esta-muerto-sin-fuerza-de-gravedad, /obra33482-hamlet-esta-muerto-sin-fuerza-de-gravedad",False
https://farsamag.com/obras/la-enamorada/,La enamorada,Reseña,"/obra67031-la-enamorada, /obra1488-la-enamorada, /obra40910-la-enamorada-del-muro, /obra18570-la-enamorada-del-muro, /obra43712-la-enamorada-del-rey, /obra49174-la-discreta-enamorada, /obra25063-la-puta-enamorada, /obra42691-la-discreta-enamorada",False
https://farsamag.com/obras/los-finales-felices-son-para-otros/,Los finales felices son para otros,Reseña,/obra77945-los-finales-felices-son-para-otros,False
