,url,personas,in_db,derivada
20,/obra21244-parte-de-este-mundo,"/persona2075-adrian-canale, /persona343-tian-brass, /persona55463-sergio-di-florio, /persona76285-mariela-finkelstein, /persona55460-silvio-palmucci, /persona7720-ximena-viscarret, /persona6751-maria-zambelli, /persona76285-mariela-finkelstein, /persona2075-adrian-canale",False,False
21,/obra59570-petroleo,"/persona671-elisa-carricajo, /persona672-valeria-correa, /persona27432-laura-fernandez, /persona4031-pilar-gamboa, /persona679-laura-paredes, /persona671-elisa-carricajo, /persona672-valeria-correa, /persona4031-pilar-gamboa, /persona679-laura-paredes, /persona15684-gabriela-a-fernandez, /persona7164-rodrigo-gonzalez-garillo, /persona669-matias-sendon, /persona6379-zypce, /persona6379-zypce, /persona15627-andres-molina, /persona390275-daniela-dell-acqua, /persona15627-andres-molina, /persona116405-estefania-bonessa, /persona118562-fabian-barbosa, /persona92901-sofia-palomino, /persona9799-daniela-sitnisky, /persona50470-claudio-del-bianco, /persona48488-mariana-mitre, /persona671-elisa-carricajo, /persona672-valeria-correa, /persona27432-laura-fernandez, /persona4031-pilar-gamboa, /persona679-laura-paredes",False,False
22,/obra69497-precarizada,"/persona59113-josefina-gorostiza, /persona81542-nicolas-goldschmidt, /persona59113-josefina-gorostiza, /persona416039-ailen-zoe, /persona54657-ramiro-bailiarini, /persona150002-bernardita-epelbaum, /persona383331-nacho-coppolecchia, /persona363511-facu-kchihomeless, /persona227172-cecilia-kuska, /persona421678-maria-eugenia-cadus, /persona59113-josefina-gorostiza",False,False
23,/obra66688-romance-del-baco-y-la-vaca,"/persona15875-gonzalo-demaria, /persona37042-marco-antonio-caponi, /persona105957-pamela-martinelli, /persona23308-gonzalo-cordova, /persona47909-monica-antonopulos, /persona258841-manuel-caponi, /persona273579-marcelo-boccia, /persona465673-el-baco, /persona37042-marco-antonio-caponi",False,False
24,/obra21638-sudado,"/persona58516-facundo-aquinos, /persona80804-julian-cabrera, /persona193742-belen-charpentier, /persona40448-jorge-eiro, /persona18398-facundo-livio-mejias, /persona169935-paul-romero, /persona58516-facundo-aquinos, /persona12985-cristian-jensen, /persona18398-facundo-livio-mejias, /persona5048-paola-delgado, /persona116405-estefania-bonessa, /persona169935-paul-romero, /persona41780-adrian-grimozzi, /persona3215-eduardo-perez-winter, /persona298735-czphotocomar, /persona72804-maria-sureda, /persona193741-sonia-basch, /persona193740-isa-crosta, /persona169935-paul-romero, /persona278082-claudio-bonelli, /persona11916-fabio-petrucci, /persona84427-paloma-lipovetzky, /persona85913-ignacio-bartolone, /persona40448-jorge-eiro",False,False
25,/obra18989-viejo-solo-y-puto,"/persona17674-marcelo-ferrari, /persona4070-dario-guersenzvaig, /persona26866-federico-liss, /persona10446-david-rubinstein, /persona174690-damian-smajo, /persona15684-gabriela-a-fernandez, /persona15684-gabriela-a-fernandez, /persona669-matias-sendon, /persona2747-fernando-tur, /persona52878-brenda-bianco, /persona52878-brenda-bianco, /persona314-adrian-silver, /persona35763-gabry-romero, /persona116405-estefania-bonessa, /persona116405-estefania-bonessa, /persona1004-daniel-franco, /persona191271-paula-sminkin, /persona10446-david-rubinstein, /persona25385-maxime-seuge, /persona22390-jonathan-zak, /persona2032-sergio-boris",False,False
26,/obra14932-un-poyo-rojo,"/persona53979-alfonso-baron, /persona16862-luciano-rosso, /persona199456-alejandro-ferrer, /persona22445-nicolas-poggi, /persona16862-luciano-rosso, /persona7765-hermes-gaido",False,False
27,/obra54212-todo-tendria-sentido-si-no-existiera-la-muerte,"/persona59104-mariano-tenconi-blanco, /persona7483-maruja-bustamante, /persona272620-bruno-giganti, /persona7686-andrea-nussembaum, /persona1453-agustin-rittano, /persona355350-juana-rozas, /persona23161-lorena-vega, /persona373473-cecilia-bello-godoy, /persona238669-johanna-bresque, /persona104-oria-puppo, /persona669-matias-sendon, /persona59104-mariano-tenconi-blanco, /persona144441-ian-shifres, /persona306117-ariel-feldman, /persona363767-sebastian-freire, /persona7265-xavier-martin, /persona189962-gabriel-jofre, /persona373476-ana-schimelman, /persona254500-euge-tobal, /persona288437-maxi-muti, /persona5297-carolina-castro, /persona15323-luciana-zylberberg, /persona5297-carolina-castro, /persona373474-jazmin-titunik, /persona59104-mariano-tenconi-blanco",False,False
28,/obra11603-tercer-cuerpo,"/persona4472-claudio-tolcachir, /persona30545-hernan-grinstein, /persona21662-magui-grondona, /persona8992-melisa-hermida, /persona3124-laura-lertora, /persona7501-jose-maria-marcos, /persona56860-daniela-pal, /persona83348-gonzalo-cordoba-estevez, /persona23827-omar-possemato, /persona4472-claudio-tolcachir, /persona118841-giampaolo-sama, /persona3124-laura-lertora, /persona8992-melisa-hermida, /persona25385-maxime-seuge, /persona22390-jonathan-zak, /persona4472-claudio-tolcachir",False,False
29,/obra58745-pundonor,"/persona691-andrea-garrote, /persona691-andrea-garrote, /persona74231-lara-sol-gaudini, /persona113552-santiago-badillo, /persona113552-santiago-badillo, /persona103674-lupe-marin, /persona364651-chamacas-estudio, /persona390111-inchausti-parinelli, /persona390112-piana-badillo, /persona39829-federico-marquesto, /persona103674-lupe-marin, /persona83244-juan-sere, /persona13108-carolina-stegmayer, /persona399806-el-patron-vazquez, /persona691-andrea-garrote, /persona689-rafael-spregelburd",False,False
30,/obra33486-mi-hijo-solo-camina-un-poco-mas-lento,"/persona290770-ivor-martinić, /persona290771-nikolina-zidek, /persona4925-aldo-alessandrini, /persona4760-antonio-bax, /persona143217-luis-blanco, /persona78482-pochi-ducasse, /persona14742-paula-fernandez-mbarak, /persona87069-pilar-boyle, /persona363112-alejandro-guerscovich, /persona6674-clarisa-korovsky, /persona23490-romina-padoan, /persona110057-juan-andres-romanazzi, /persona161362-gonzalo-san-millan, /persona73081-mariano-asseff, /persona227457-alberto-albelda, /persona227457-alberto-albelda, /persona32325-david-seldes, /persona84061-sebastian-arpesella, /persona49599-nora-lezano, /persona390132-gustavo-andres-passerino, /persona279694-catalina-napolitano, /persona56819-francisco-casares, /persona4842-romina-chepe, /persona43797-julieta-abriola, /persona87-guillermo-cacace",False,False
31,/obra15117-el-loco-y-la-camisa,"/persona25938-nelson-valente, /persona15894-soledad-bautista, /persona38425-gabriel-beck, /persona25933-ricardo-larrama, /persona11031-jose-pablo-suarez, /persona49371-lide-uranga, /persona65730-luciano-stechina, /persona402777-pororoca-films, /persona402778-clara-de-olano, /persona46596-mariana-fossati, /persona402779-lucia-uranga, /persona276666-ignacio-pescetti, /persona25938-nelson-valente",False,False
32,/obra68104-perdon-sutottos,"/persona26569-andres-caminos, /persona26570-gadiel-sztryk, /persona26569-andres-caminos, /persona26570-gadiel-sztryk, /persona12240-fernando-dopazo, /persona312031-analia-cristina-morales, /persona12240-fernando-dopazo, /persona177726-pablo-linietsky, /persona309413-manuela-bottale, /persona226173-marianela-faccioli, /persona309413-manuela-bottale, /persona226173-marianela-faccioli, /persona230401-duchezarate, /persona312032-sutottos, /persona26569-andres-caminos, /persona26570-gadiel-sztryk, /persona26569-andres-caminos, /persona26570-gadiel-sztryk",False,False
33,/obra70626-pampa-escarlata,"/persona313095-julian-cnochaert, /persona58787-lucia-aduriz, /persona12933-pablo-bronstein, /persona258137-carolina-llargues, /persona5048-paola-delgado, /persona9504-cecilia-zuvialde, /persona63136-cecilia-castro, /persona386003-victoria-fini, /persona1655-ricardo-sica, /persona386003-victoria-fini, /persona402024-lucia-gusman-luchitron, /persona13108-carolina-stegmayer, /persona26595-catalina-villegas, /persona313095-julian-cnochaert",False,False
