nombre,urlAT,derivadas,categoríaLN
El relato,,"obra79006-el-relato,obra75763-desde-el-pozo-un-relato-en-la-oscuridad,obra70185-relato-de-un-match,obra78701-yo-me-nazco-relatos-de-infancias,obra80070-desamor-relatos-de-vida,obra80466-yin-yang-hasta-pronto-venado-relatos-de-los-confines,obra63947-relato-situado-mujeres-construyen-memoria,obra73840-relato-situado-memoria-del-aislamiento-cfp,obra73834-ensayo-sobre-relatos-de-samuel-beckett-al-aire-libre-y-a-la-gorra,obra75392-relatos-de-amor-y-locura,obra76734-relatos-de-la-devastacion,obra76619-salir-al-aire-relatos-de-cuarentena,obra76741-relato-situado-el-meridiano-de-la-memoria,obra75526-relatos-urbanos,obra56414-relato-situado-los-sentidos-de-la-memoria,obra72676-relato-situado-memoria-del-aislamiento-5,obra72433-relato-situado-memoria-del-aislamiento-4,obra72382-pequenos-relatos-de-cuarentena,obra72185-relato-situado-memoria-del-aislamiento-3,obra72040-relato-situado-memoria-del-aislamiento-2,obra71955-la-superclasica-relatos-shakespereanos-para-llevar-en-la-valija,obra71885-relato-situado-memoria-del-aislamiento-1,obra71763-relatos-macabros,obra71326-streaming-de-la-memoria-relato-situado,obra71221-relato-situado-memoria-presente,obra71216-relato-situado-historias-de-pequenos-corajes-villa-crespo,obra71053-relato-situado-streaming-de-la-memoria,obra73451-foc-mientras-tanto-pequenos-relatos-segunda-parte,obra73432-foc-mientras-tanto-pequenos-relatos-primera-parte,obra73105-relato-situado-memoria-del-aislamiento-6,obra64972-cuestion-de-genero-relatos-breves,obra64647-relato-situado-unq-tiene-memoria,obra64127-chacarita-relato-situado,obra68391-vihvo-relatos-escenicos-sobre-el-vivir-positivo-,obra63483-tertulia-nocturna-de-relatos-espeluznantes-argentinos,obra67320-el-acompanamiento-presentacion-libro-20-poemas-de-amor-y-15-relatos-inesperados,obra55807-alejandro-balbis-historias-de-un-cantor-canciones-relatos-y-textos,obra54493-anfibia-relato-vivido-de-genoveva-claria,obra60780-relato-situado-memoria-de-la-reforma,obra58350-conversaciones-con-vincent-relato-de-poder,obra58037-relato-situado-memoria-de-campo-de-mayo,obra62785-relato-situado-avellaneda-tiene-memoria,obra61905-lectura-de-cuentos-para-ninos-adolescentes-y-adultos-nombre-del-libro-13-relatos-contra-el-bullying-ciberbullying-y-mobbing-e-ideas-concretas-para-combatirlos,obra61511-presentacion-de-libro-13-relatos-contra-el-bullying-ciberbullying-y-mobbing-e-ideas-concretas-para-combatirlos,obra40080-breve-relato-sobre-una-mujer-que-va-a-la-fiesta-de-cumpleanos-de-su-ex-y-termina-adentro-de-una-botella,obra40039-ciclo-biorrelatos,obra53860-hija-de-papa-relato-de-una-noche,obra53169-relatos,obra53026-relato-intimo-de-un-hombre-nuevo,obra52589-relatos-destinos-cruzados-velorio-hermanos-toxicos,obra51196-relato-situado-lanus-tiene-memoria,obra48242-las-mil-y-una-noches-relatos-para-ver-el-sol,obra54889-espectaculos-de-fin-de-ano-accion-relatos-teatro-senior,obra61103-unforgettable-danzarelato-buenos-aires-hamburg,obra45104-relatos-cortos-nuevas-historias,obra43853-relatos-cortos,obra42843-relatos-musicales-ornella-pinero,obra42241-purusha-relatos-revueltos,obra41408-breve-relato-dominical,obra40146-relatos-absurdos,obra46638-relato-situado-la-memoria-en-el-centro,obra45203-discontinuos-breves-relatos-sobre-dias-cualquieras,obra39933-gypsy-soul-fest-ii-los-relatos-de-idariel,obra40488-relato-situado-accion-de-memoria-urbana,obra62784-relato-situado-avellaneda-tiene-memoria,obra77938-la-fauna-y-el-gesto-un-fragmento-de-la-obra-relatos-rave,obra71167-relatora-de-voces-femeninas,obra76648-relato-de-la-carcel,obra82383-breves-relatos,obra59191-relato-sobre-un-error-semantico",4
Pesadilla o El hombre que fue jueves,https://www.alternativateatral.com//obra80219-pesadilla-o-el-hombre-que-fue-jueves,obra80219-pesadilla-o-el-hombre-que-fue-jueves,4
Israfel,,"obra80516-israfel,obra58143-israfel,obra43937-israfel,obra51275-israfel",3
Novecento,,"obra80660-novecento,obra32242-novecento,obra30455-novecento,obra15059-novecento,obra1824-novecento,obra51217-galas-del-novecento",3
Else y Henry,https://www.alternativateatral.com//obra76305-else-y-henry,obra76305-else-y-henry,4
Cenando con mis monstruos,https://www.alternativateatral.com//obra79602-cenando-con-mis-monstruos,obra79602-cenando-con-mis-monstruos,3
Una casa de muñecas,https://www.alternativateatral.com//obra80008-una-casa-de-munecas,obra80008-una-casa-de-munecas,4
Bodas de sangre,,"obra60283-bodas-de-sangre,obra81179-bodas-de-sangre,obra81128-bodas-de-sangre,obra79857-bodas-de-sangre,obra79525-bodas-de-sangre,obra76128-bodas-de-sangre,obra76017-bodas-de-sangre,obra68249-bodas-de-sangre,obra66945-bodas-de-sangre,obra61357-bodas-de-sangre,obra40925-bodas-de-sangre,obra26073-bodas-de-sangre,obra31899-bodas-de-sangre,obra39743-bodas-de-sangre,obra37660-bodas-de-sangre,obra33035-bodas-de-sangre,obra31736-bodas-de-sangre,obra31453-bodas-de-sangre,obra32596-bodas-de-sangre,obra28876-bodas-de-sangre,obra22902-bodas-de-sangre,obra24346-bodas-de-sangre,obra23824-bodas-de-sangre,obra23780-bodas-de-sangre,obra24657-bodas-de-sangre,obra17628-bodas-de-sangre,obra15383-bodas-de-sangre,obra12280-bodas-de-sangre,obra11455-bodas-de-sangre,obra8170-bodas-de-sangre,obra7695-bodas-de-sangre,obra7620-bodas-de-sangre,obra6892-bodas-de-sangre,obra639-bodas-de-sangre,obra11059-bodas-de-sangre,obra44946-bodas-de-sangre,obra47229-bodas-de-sangre,obra45430-bodas-de-sangre,obra54611-bodas-de-sangre,obra44945-bodas-de-sangre,obra36519-bodas-de-sangre-la-tragedia-de-lorca-en-una-voz,obra43926-bodas-de-sangre-radio-teatro-folclorico,obra52724-bodas-de-sangreun-clasico-reciclado,obra12707-bodas-de-sangre-sabor-amargo-que-deja-alguna-cosa,obra57978-bodas-de-sangre,obra66895-bodas-de-sangre-fragmento",3
María e Isabel (una tragedia isabelina),https://www.alternativateatral.com//obra80001-maria-e-isabel-una-tragedia-isabelina,obra80001-maria-e-isabel-una-tragedia-isabelina,4
Transoceánicas,https://www.alternativateatral.com//obra79658-transoceanicas,obra79658-transoceanicas,3
¿Qué pasó en todo este tiempo?,https://www.alternativateatral.com//obra78450-que-paso-en-todo-este-tiempo,obra78450-que-paso-en-todo-este-tiempo,4
No te vayas con amor o sin él,,"obra80212-no-te-vayas-con-amor-o-sin-el,obra67439-no-te-vayas-con-amor-o-sin-el,obra12176-no-te-vayas-con-amor-o-sin-el,obra19755-no-te-vayas-con-amor-o-sin-el",2
